BusinessEntityID,EmployeeFirstName,EmployeeLastName,EmployeeName,JobTitle,DepartmentName,BirthDate,MaritalStatus,Gender,HireDate
40,JoLynn,Dobney,JoLynn Dobney,Production Supervisor - WC60,Production,1960-12-16,Single,Female,2012-11-26
41,Bryan,Baker,Bryan Baker,Production Technician - WC60,Production,1978-07-27,Single,Male,2013-12-21
42,James,Kramer,James Kramer,Production Technician - WC60,Production,1989-06-25,Married,Male,2013-11-27
43,Nancy,Anderson,Nancy Anderson,Production Technician - WC60,Production,1993-10-19,Married,Female,2013-12-02
44,Simon,Rapier,Simon Rapier,Production Technician - WC60,Production,1995-04-17,Single,Male,2013-11-08
45,Thomas,Michaels,Thomas Michaels,Production Technician - WC60,Production,1990-12-10,Married,Male,2014-01-26
46,Eugene,Kogan,Eugene Kogan,Production Technician - WC60,Production,1981-01-10,Single,Male,2014-01-08
47,Andrew,Hill,Andrew Hill,Production Supervisor - WC10,Production,1993-08-06,Single,Male,2014-01-22
48,Ruth,Ellerbrock,Ruth Ellerbrock,Production Technician - WC10,Production,1961-05-04,Married,Female,2012-12-06
49,Barry,Johnson,Barry Johnson,Production Technician - WC10,Production,1961-02-26,Single,Male,2012-12-07
50,Sidney,Higa,Sidney Higa,Production Technician - WC10,Production,1961-07-30,Married,Male,2013-01-02
51,Jeffrey,Ford,Jeffrey Ford,Production Technician - WC10,Production,1961-06-11,Single,Male,2013-01-20
52,Doris,Hartwig,Doris Hartwig,Production Technician - WC10,Production,1961-03-04,Married,Female,2013-02-10
53,Diane,Glimp,Diane Glimp,Production Technician - WC10,Production,1961-02-28,Married,Female,2013-02-28
54,Bonnie,Kearney,Bonnie Kearney,Production Technician - WC10,Production,1991-08-10,Married,Female,2014-12-01
55,Taylor,Maxwell,Taylor Maxwell,Production Supervisor - WC50,Production,1961-03-01,Married,Male,2013-01-08
56,Denise,Smith,Denise Smith,Production Technician - WC50,Production,1993-06-06,Married,Female,2014-01-05
57,Frank,Miller,Frank Miller,Production Technician - WC50,Production,1976-06-24,Single,Male,2014-01-23
58,Kendall,Keil,Kendall Keil,Production Technician - WC50,Production,1991-04-30,Married,Male,2013-11-05
59,Bob,Hohman,Bob Hohman,Production Technician - WC50,Production,1984-07-16,Single,Male,2013-11-24
60,Pete,Male,Pete Male,Production Technician - WC50,Production,1982-01-03,Single,Male,2013-12-11
61,Diane,Tibbott,Diane Tibbott,Production Technician - WC50,Production,1994-07-09,Single,Female,2013-12-18
62,John,Campbell,John Campbell,Production Supervisor - WC60,Production,1961-07-07,Married,Male,2013-02-17
63,Maciej,Dusza,Maciej Dusza,Production Technician - WC60,Production,1959-12-30,Single,Male,2014-12-29
64,Michael,Zwilling,Michael Zwilling,Production Technician - WC60,Production,1978-08-05,Single,Male,2015-01-23
65,Randy,Reeves,Randy Reeves,Production Technician - WC60,Production,1975-03-28,Married,Male,2015-01-23
66,Karan,Khanna,Karan Khanna,Production Technician - WC60,Production,1975-02-07,Single,Male,2014-11-22
67,Jay,Adams,Jay Adams,Production Technician - WC60,Production,1981-01-11,Single,Male,2014-02-05
68,Charles,Fitzgerald,Charles Fitzgerald,Production Technician - WC60,Production,1976-08-02,Single,Male,2014-11-03
69,Steve,Masters,Steve Masters,Production Technician - WC60,Production,1996-03-06,Single,Male,2014-01-15
70,David,Ortiz,David Ortiz,Production Technician - WC60,Production,1989-11-29,Married,Male,2013-11-15
71,Michael,Ray,Michael Ray,Production Supervisor - WC30,Production,1993-12-29,Single,Male,2014-01-15
72,Steven,Selikoff,Steven Selikoff,Production Technician - WC30,Production,1982-04-14,Married,Male,2013-11-01
73,Carole,Poland,Carole Poland,Production Technician - WC30,Production,1988-09-19,Married,Female,2013-11-19
74,Bjorn,Rettig,Bjorn Rettig,Production Technician - WC30,Production,1994-10-06,Single,Male,2013-12-07
75,Michiko,Osada,Michiko Osada,Production Technician - WC30,Production,1987-05-27,Single,Male,2013-12-26
76,Carol,Philips,Carol Philips,Production Technician - WC30,Production,1993-09-17,Married,Female,2014-01-12
77,Merav,Netz,Merav Netz,Production Technician - WC30,Production,1988-04-13,Married,Female,2014-02-03
78,Reuben,D'sa,Reuben D'sa,Production Supervisor - WC40,Production,1992-07-27,Married,Male,2013-11-15
79,Eric,Brown,Eric Brown,Production Technician - WC40,Production,1971-11-08,Married,Male,2014-12-24
80,Sandeep,Kaliyath,Sandeep Kaliyath,Production Technician - WC40,Production,1975-11-03,Single,Male,2014-12-17
81,Mihail,Frintu,Mihail Frintu,Production Technician - WC40,Production,1976-02-09,Single,Male,2014-11-29
82,Jack,Creasey,Jack Creasey,Production Technician - WC40,Production,1978-07-29,Single,Male,2015-02-03
83,Patrick,Cook,Patrick Cook,Production Technician - WC40,Production,1978-11-23,Married,Male,2015-01-12
84,Frank,Martinez,Frank Martinez,Production Technician - WC40,Production,1957-02-02,Married,Male,2015-01-05
85,Brian,Goldstein,Brian Goldstein,Production Technician - WC40,Production,1975-11-23,Single,Male,2014-11-11
86,Ryan,Cornelsen,Ryan Cornelsen,Production Technician - WC40,Production,1977-05-13,Married,Male,2013-12-05
87,Cristian,Petculescu,Cristian Petculescu,Production Supervisor - WC10,Production,1989-03-11,Married,Male,2013-11-22
88,Betsy,Stadick,Betsy Stadick,Production Technician - WC10,Production,1971-11-17,Single,Female,2014-11-18
89,Patrick,Wedge,Patrick Wedge,Production Technician - WC10,Production,1991-08-10,Single,Male,2015-01-01
90,Danielle,Tiedt,Danielle Tiedt,Production Technician - WC10,Production,1991-08-07,Single,Female,2015-01-20
91,Kimberly,Zimmerman,Kimberly Zimmerman,Production Technician - WC10,Production,1991-08-13,Single,Female,2014-12-12
92,Tom,Vande Velde,Tom Vande Velde,Production Technician - WC10,Production,1991-09-01,Married,Male,2015-02-10
93,Kok-Ho,Loh,Kok-Ho Loh,Production Supervisor - WC50,Production,1985-03-28,Single,Male,2013-11-27
94,Russell,Hunter,Russell Hunter,Production Technician - WC50,Production,1977-10-25,Married,Male,2013-11-12
95,Jim,Scardelis,Jim Scardelis,Production Technician - WC50,Production,1991-08-08,Married,Male,2013-11-19
96,Elizabeth,Keyser,Elizabeth Keyser,Production Technician - WC50,Production,1994-12-25,Married,Female,2014-02-02
97,Mandar,Samant,Mandar Samant,Production Technician - WC50,Production,1991-02-21,Single,Male,2014-01-10
98,Sameer,Tejani,Sameer Tejani,Production Technician - WC50,Production,1983-05-26,Married,Male,2014-01-11
99,Nuan,Yu,Nuan Yu,Production Technician - WC50,Production,1984-02-29,Single,Male,2013-12-06
100,Lolan,Song,Lolan Song,Production Technician - WC50,Production,1977-12-24,Married,Male,2013-12-12
101,Houman,Pournasseh,Houman Pournasseh,Production Technician - WC50,Production,1976-07-30,Married,Male,2013-12-25
102,Zheng,Mu,Zheng Mu,Production Supervisor - WC10,Production,1988-09-26,Single,Male,2013-11-03
103,Ebru,Ersan,Ebru Ersan,Production Technician - WC10,Production,1991-08-22,Single,Male,2014-11-06
104,Mary,Baker,Mary Baker,Production Technician - WC10,Production,1991-08-19,Married,Female,2014-11-25
105,Kevin,Homer,Kevin Homer,Production Technician - WC10,Production,1991-08-19,Single,Male,2014-11-25
106,John,Kane,John Kane,Production Technician - WC10,Production,1991-08-28,Single,Male,2015-01-27
107,Christopher,Hill,Christopher Hill,Production Technician - WC10,Production,1991-09-01,Married,Male,2015-01-08
108,Jinghao,Liu,Jinghao Liu,Production Supervisor - WC50,Production,1994-01-05,Single,Male,2013-11-08
109,Alice,Ciccu,Alice Ciccu,Production Technician - WC50,Production,1982-12-26,Married,Female,2013-11-07
110,Jun,Cao,Jun Cao,Production Technician - WC50,Production,1984-06-06,Single,Male,2013-11-14
111,Suroor,Fatima,Suroor Fatima,Production Technician - WC50,Production,1983-01-25,Single,Male,2013-11-17
112,John,Evans,John Evans,Production Technician - WC50,Production,1983-04-30,Single,Male,2013-12-01
113,Linda,Moschell,Linda Moschell,Production Technician - WC50,Production,1992-06-17,Married,Female,2013-11-25
114,Mindaugas,Krapauskas,Mindaugas Krapauskas,Production Technician - WC50,Production,1983-04-07,Married,Male,2013-12-13
115,Angela,Barbariol,Angela Barbariol,Production Technician - WC50,Production,1996-04-30,Single,Female,2013-12-20
116,Michael,Patten,Michael Patten,Production Technician - WC50,Production,1979-04-03,Single,Male,2013-12-31
117,Chad,Niswonger,Chad Niswonger,Production Technician - WC50,Production,1995-07-04,Married,Male,2014-01-18
118,Don,Hall,Don Hall,Production Technician - WC50,Production,1976-05-13,Married,Male,2014-01-13
119,Michael,Entin,Michael Entin,Production Technician - WC50,Production,1994-05-15,Single,Male,2014-01-25
120,Kitti,Lertpiriyasuwat,Kitti Lertpiriyasuwat,Production Technician - WC50,Production,1992-05-06,Single,Female,2014-02-04
121,Pilar,Ackerman,Pilar Ackerman,Shipping and Receiving Supervisor,Shipping and Receiving,1977-08-09,Single,Male,2013-12-02
122,Susan,Eaton,Susan Eaton,Stocker,Shipping and Receiving,1983-01-17,Single,Female,2013-11-07
123,Vamsi,Kuppa,Vamsi Kuppa,Shipping and Receiving Clerk,Shipping and Receiving,1982-02-18,Married,Male,2013-11-07
124,Kim,Ralls,Kim Ralls,Stocker,Shipping and Receiving,1989-03-30,Single,Female,2013-11-26
125,Matthias,Berndt,Matthias Berndt,Shipping and Receiving Clerk,Shipping and Receiving,1978-10-11,Married,Male,2013-12-20
126,Jimmy,Bischoff,Jimmy Bischoff,Stocker,Shipping and Receiving,1990-04-04,Married,Male,2014-01-26
127,David,Hamilton,David Hamilton,Production Supervisor - WC40,Production,1988-06-02,Single,Male,2013-12-03
128,Paul,Komosinski,Paul Komosinski,Production Technician - WC40,Production,1985-10-13,Single,Male,2013-11-04
129,Gary,Yukish,Gary Yukish,Production Technician - WC40,Production,1993-04-16,Single,Male,2013-11-22
130,Rob,Caron,Rob Caron,Production Technician - WC40,Production,1978-07-04,Single,Male,2014-01-13
131,Baris,Cetinok,Baris Cetinok,Production Technician - WC40,Production,1995-09-07,Single,Male,2014-01-15
132,Nicole,Holliday,Nicole Holliday,Production Technician - WC40,Production,1991-03-09,Married,Female,2014-01-22
133,Michael,Rothkugel,Michael Rothkugel,Production Technician - WC40,Production,1995-12-04,Single,Male,2013-12-10
134,Eric,Gubbels,Eric Gubbels,Production Supervisor - WC20,Production,1989-12-19,Married,Male,2013-12-14
135,Ivo,Salmre,Ivo Salmre,Production Technician - WC20,Production,1986-12-03,Married,Male,2013-11-04
136,Sylvester,Valdez,Sylvester Valdez,Production Technician - WC20,Production,1975-10-12,Married,Male,2014-11-11
137,Anibal,Sousa,Anibal Sousa,Production Technician - WC20,Production,1979-08-05,Single,Female,2014-01-23
138,Samantha,Smith,Samantha Smith,Production Technician - WC20,Production,1992-10-22,Married,Female,2014-01-04
139,Hung-Fu,Ting,Hung-Fu Ting,Production Technician - WC20,Production,1976-09-23,Single,Male,2014-12-06
140,Prasanna,Samarawickrama,Prasanna Samarawickrama,Production Technician - WC20,Production,1958-03-30,Married,Male,2014-12-22
141,Min,Su,Min Su,Production Technician - WC20,Production,1979-08-10,Married,Male,2014-12-24
142,Olinda,Turner,Olinda Turner,Production Technician - WC20,Production,1975-03-04,Single,Female,2015-02-04
143,Krishna,Sunkammurali,Krishna Sunkammurali,Production Technician - WC20,Production,1976-08-05,Single,Male,2015-01-13
144,Paul,Singh,Paul Singh,Production Technician - WC20,Production,1995-10-04,Married,Male,2013-12-17
145,Cynthia,Randall,Cynthia Randall,Production Supervisor - WC30,Production,1986-07-18,Single,Female,2013-12-27
146,Jian Shuo,Wang,Jian Shuo Wang,Production Technician - WC30,Production,1994-05-25,Single,Male,2013-11-07
147,Sandra,Reátegui Alayo,Sandra Reátegui Alayo,Production Technician - WC30,Production,1980-10-05,Married,Female,2013-11-26
148,Jason,Watters,Jason Watters,Production Technician - WC30,Production,1993-11-07,Single,Male,2013-12-14
149,Andy,Ruth,Andy Ruth,Production Technician - WC30,Production,1988-09-20,Married,Male,2013-12-31
150,Michael,Vanderhyde,Michael Vanderhyde,Production Technician - WC30,Production,1987-08-18,Married,Male,2014-01-26
151,Rostislav,Shabalin,Rostislav Shabalin,Production Technician - WC30,Production,1982-08-13,Married,Male,2014-01-19
152,Yuhong,Li,Yuhong Li,Production Supervisor - WC20,Production,1982-03-06,Married,Male,2014-01-01
153,Hanying,Feng,Hanying Feng,Production Technician - WC20,Production,1979-09-16,Single,Male,2013-11-16
154,Raymond,Sam,Raymond Sam,Production Technician - WC20,Production,1972-02-02,Married,Male,2013-11-23
155,Fadi,Fakhouri,Fadi Fakhouri,Production Technician - WC20,Production,1994-01-15,Single,Male,2013-12-04
156,Lane,Sacksteder,Lane Sacksteder,Production Technician - WC20,Production,1979-08-23,Married,Male,2013-12-11
157,Linda,Randall,Linda Randall,Production Technician - WC20,Production,1982-09-05,Single,Female,2014-01-03
158,Shelley,Dyck,Shelley Dyck,Production Technician - WC20,Production,1991-11-08,Single,Female,2014-02-07
159,Terrence,Earls,Terrence Earls,Production Technician - WC20,Production,1989-11-08,Single,Male,2014-01-16
160,Jeff,Hay,Jeff Hay,Production Supervisor - WC45,Production,1981-12-15,Married,Male,2013-12-21
161,Kirk,Koenigsbauer,Kirk Koenigsbauer,Production Technician - WC45,Production,1990-01-06,Single,Male,2013-11-15
162,Laura,Steele,Laura Steele,Production Technician - WC45,Production,1985-11-25,Single,Female,2013-12-03
163,Alex,Nayberg,Alex Nayberg,Production Technician - WC45,Production,1995-03-13,Married,Male,2014-01-08
164,Andrew,Cencini,Andrew Cencini,Production Technician - WC45,Production,1993-08-24,Single,Male,2014-02-06
165,Chris,Preston,Chris Preston,Production Technician - WC45,Production,1993-11-16,Married,Male,2013-12-22
166,Jack,Richins,Jack Richins,Production Supervisor - WC30,Production,1988-05-22,Single,Male,2014-01-21
167,David,Johnson,David Johnson,Production Technician - WC30,Production,1984-10-02,Single,Male,2013-11-02
168,Garrett,Young,Garrett Young,Production Technician - WC30,Production,1989-07-25,Single,Male,2013-11-07
169,Susan,Metters,Susan Metters,Production Technician - WC30,Production,1988-03-02,Single,Female,2013-11-14
170,George,Li,George Li,Production Technician - WC30,Production,1982-03-16,Married,Male,2013-11-21
171,David,Yalovsky,David Yalovsky,Production Technician - WC30,Production,1986-07-03,Single,Male,2013-12-02
172,Marc,Ingle,Marc Ingle,Production Technician - WC30,Production,1991-09-24,Married,Male,2013-12-16
173,Eugene,Zabokritski,Eugene Zabokritski,Production Technician - WC30,Production,1992-06-15,Single,Male,2013-12-21
174,Benjamin,Martin,Benjamin Martin,Production Technician - WC30,Production,1990-12-05,Single,Male,2013-12-27
175,Reed,Koch,Reed Koch,Production Technician - WC30,Production,1993-12-08,Married,Male,2014-01-02
176,David,Lawrence,David Lawrence,Production Technician - WC30,Production,1990-08-23,Married,Male,2014-01-14
177,Russell,King,Russell King,Production Technician - WC30,Production,1987-01-11,Married,Male,2014-01-21
178,John,Frum,John Frum,Production Technician - WC30,Production,1987-02-24,Single,Male,2014-02-03
179,Jan,Miksovsky,Jan Miksovsky,Production Technician - WC30,Production,1979-10-15,Single,Male,2014-02-05
180,Katie,McAskill-White,Katie McAskill-White,Production Supervisor - WC20,Production,1989-10-18,Single,Female,2014-01-20
181,Michael,Hines,Michael Hines,Production Technician - WC20,Production,1989-10-17,Single,Male,2013-11-09
182,Nitin,Mirchandani,Nitin Mirchandani,Production Technician - WC20,Production,1991-11-01,Single,Male,2013-11-28
183,Barbara,Decker,Barbara Decker,Production Technician - WC20,Production,1984-06-02,Married,Female,2013-12-22
184,John,Chen,John Chen,Production Technician - WC20,Production,1991-03-05,Married,Male,2014-01-09
185,Stefen,Hesse,Stefen Hesse,Production Technician - WC20,Production,1980-11-21,Single,Male,2014-01-28
186,Shane,Kim,Shane Kim,Production Supervisor - WC45,Production,1995-04-24,Single,Male,2014-01-08
187,Yvonne,McKay,Yvonne McKay,Production Technician - WC45,Production,1994-03-15,Married,Female,2013-11-09
188,Douglas,Hite,Douglas Hite,Production Technician - WC45,Production,1990-10-24,Married,Male,2013-11-27
189,Janeth,Esteves,Janeth Esteves,Production Technician - WC45,Production,1977-06-24,Single,Female,2013-12-15
190,Robert,Rounthwaite,Robert Rounthwaite,Production Technician - WC45,Production,1990-01-28,Single,Male,2014-01-02
191,Lionel,Penuchot,Lionel Penuchot,Production Technician - WC45,Production,1993-02-14,Single,Male,2014-01-26
192,Brenda,Diaz,Brenda Diaz,Production Supervisor - WC40,Production,1988-01-28,Married,Female,2014-02-05
193,Alejandro,McGuel,Alejandro McGuel,Production Technician - WC40,Production,1993-11-05,Single,Male,2013-11-06
194,Fred,Northup,Fred Northup,Production Technician - WC40,Production,1994-05-25,Single,Male,2013-11-12
195,Kevin,Liu,Kevin Liu,Production Technician - WC40,Production,1990-11-25,Single,Male,2013-11-17
196,Shammi,Mohamed,Shammi Mohamed,Production Technician - WC40,Production,1985-09-04,Married,Male,2013-11-24
197,Rajesh,Patel,Rajesh Patel,Production Technician - WC40,Production,1982-09-04,Married,Male,2013-11-30
198,Lorraine,Nay,Lorraine Nay,Production Technician - WC40,Production,1993-10-26,Married,Female,2013-12-04
199,Paula,Nartker,Paula Nartker,Production Technician - WC40,Production,1992-01-10,Married,Female,2013-12-12
200,Frank,Lee,Frank Lee,Production Technician - WC40,Production,1992-08-06,Married,Male,2013-12-17
201,Brian,Lloyd,Brian Lloyd,Production Technician - WC40,Production,1982-01-10,Single,Male,2013-12-29
202,Tawana,Nusbaum,Tawana Nusbaum,Production Technician - WC40,Production,1994-10-10,Single,Male,2014-01-05
203,Ken,Myer,Ken Myer,Production Technician - WC40,Production,1986-04-28,Married,Male,2014-01-24
204,Gabe,Mares,Gabe Mares,Production Technician - WC40,Production,1993-04-10,Married,Male,2014-02-08
205,Lori,Kane,Lori Kane,Production Supervisor - WC45,Production,1985-06-18,Single,Female,2014-01-26
206,Stuart,Munson,Stuart Munson,Production Technician - WC45,Production,1967-08-13,Single,Male,2013-11-02
207,Greg,Alderson,Greg Alderson,Production Technician - WC45,Production,1975-09-18,Single,Male,2013-11-02
208,Scott,Gode,Scott Gode,Production Technician - WC45,Production,1992-01-10,Married,Male,2013-12-08
209,Kathie,Flood,Kathie Flood,Production Technician - WC45,Production,1995-10-01,Married,Female,2013-12-27
210,Belinda,Newman,Belinda Newman,Production Technician - WC45,Production,1974-08-17,Single,Female,2014-01-20
211,Hazem,Abolrous,Hazem Abolrous,Quality Assurance Manager,Quality Assurance,1982-09-26,Single,Male,2014-01-28
212,Peng,Wu,Peng Wu,Quality Assurance Supervisor,Quality Assurance,1981-02-18,Married,Male,2013-11-09
213,Sootha,Charncherngkha,Sootha Charncherngkha,Quality Assurance Technician,Quality Assurance,1971-11-05,Married,Male,2015-01-23
214,Andreas,Berglund,Andreas Berglund,Quality Assurance Technician,Quality Assurance,1994-02-28,Married,Male,2014-01-02
215,Mark,Harrington,Mark Harrington,Quality Assurance Technician,Quality Assurance,1991-03-30,Single,Male,2013-12-15
216,Sean,Alexander,Sean Alexander,Quality Assurance Technician,Quality Assurance,1981-02-06,Single,Male,2013-11-28
217,Zainal,Arifin,Zainal Arifin,Document Control Manager,Document Control,1980-12-30,Married,Male,2013-12-04
218,Tengiz,Kharatishvili,Tengiz Kharatishvili,Control Specialist,Document Control,1995-03-28,Single,Male,2013-11-16
219,Sean,Chai,Sean Chai,Document Control Assistant,Document Control,1992-02-12,Single,Male,2013-12-22
220,Karen,Berge,Karen Berge,Document Control Assistant,Document Control,1980-11-25,Married,Female,2014-01-09
221,Chris,Norred,Chris Norred,Control Specialist,Document Control,1992-04-26,Married,Male,2014-02-06
222,A. Scott,Wright,A. Scott Wright,Master Scheduler,Production Control,1973-08-17,Single,Male,2013-11-12
223,Sairaj,Uddin,Sairaj Uddin,Scheduling Assistant,Production Control,1992-11-22,Married,Male,2013-12-26
224,William,Vong,William Vong,Scheduling Assistant,Production Control,1986-10-06,Married,Male,2013-12-07
225,Alan,Brewer,Alan Brewer,Scheduling Assistant,Production Control,1989-02-28,Married,Male,2014-01-13
226,Brian,LaMee,Brian LaMee,Scheduling Assistant,Production Control,1989-07-11,Married,Male,2014-02-03
227,Gary,Altman,Gary Altman,Facilities Manager,Facilities and Maintenance,1976-01-18,Married,Male,2014-11-02
228,Christian,Kleinerman,Christian Kleinerman,Maintenance Supervisor,Facilities and Maintenance,1980-12-18,Married,Male,2013-11-14
229,Lori,Penor,Lori Penor,Janitor,Facilities and Maintenance,1975-06-30,Married,Female,2015-01-16
230,Stuart,Macrae,Stuart Macrae,Janitor,Facilities and Maintenance,1976-11-17,Married,Male,2015-02-05
231,Jo,Berry,Jo Berry,Janitor,Facilities and Maintenance,1959-03-24,Married,Female,2015-02-07
232,Pat,Coleman,Pat Coleman,Janitor,Facilities and Maintenance,1975-11-03,Single,Male,2014-12-27
233,Magnus,Hedlund,Magnus Hedlund,Facilities Administrative Assistant,Facilities and Maintenance,1976-07-27,Married,Male,2014-11-21
234,Laura,Norman,Laura Norman,Chief Financial Officer,Executive,1980-12-06,Married,Female,2013-12-31
235,Paula,Barreto de Mattos,Paula Barreto de Mattos,Human Resources Manager,Human Resources,1981-01-11,Married,Female,2013-11-06
236,Grant,Culbertson,Grant Culbertson,Human Resources Administrative Assistant,Human Resources,1981-03-16,Single,Male,2014-01-25
237,Hao,Chen,Hao Chen,Human Resources Administrative Assistant,Human Resources,1982-03-17,Single,Male,2014-01-06
238,Vidur,Luthra,Vidur Luthra,Recruiter,Human Resources,1989-07-01,Single,Male,2013-12-01
239,Mindy,Martin,Mindy Martin,Benefits Specialist,Human Resources,1989-10-20,Married,Female,2013-11-25
240,Willis,Johnson,Willis Johnson,Recruiter,Human Resources,1983-06-18,Single,Male,2013-11-13
241,David,Liu,David Liu,Accounts Manager,Finance,1988-06-08,Married,Male,2013-12-30
242,Deborah,Poe,Deborah Poe,Accounts Receivable Specialist,Finance,1981-02-06,Married,Female,2013-11-18
243,Candy,Spoon,Candy Spoon,Accounts Receivable Specialist,Finance,1981-01-23,Single,Female,2013-12-06
244,Bryan,Walton,Bryan Walton,Accounts Receivable Specialist,Finance,1989-08-20,Single,Male,2013-12-24
245,Barbara,Moreland,Barbara Moreland,Accountant,Finance,1980-12-04,Married,Female,2014-01-18
246,Dragan,Tomic,Dragan Tomic,Accounts Payable Specialist,Finance,1982-01-14,Married,Male,2014-01-11
247,Janet,Sheperdigian,Janet Sheperdigian,Accounts Payable Specialist,Finance,1984-02-09,Married,Female,2014-02-01
248,Mike,Seamans,Mike Seamans,Accountant,Finance,1984-06-01,Single,Male,2014-02-08
249,Wendy,Kahn,Wendy Kahn,Finance Manager,Finance,1989-09-11,Single,Female,2013-11-25
250,Sheela,Word,Sheela Word,Purchasing Manager,Purchasing,1983-01-10,Single,Female,2016-01-25
251,Mikael,Sandberg,Mikael Sandberg,Buyer,Purchasing,1989-07-17,Single,Male,2014-01-10
252,Arvind,Rao,Arvind Rao,Buyer,Purchasing,1979-07-21,Married,Male,2014-01-28
253,Linda,Meisner,Linda Meisner,Buyer,Purchasing,1975-10-30,Married,Female,2014-11-17
254,Fukiko,Ogisu,Fukiko Ogisu,Buyer,Purchasing,1975-10-24,Married,Male,2014-12-04
255,Gordon,Hee,Gordon Hee,Buyer,Purchasing,1971-10-29,Married,Male,2014-12-11
256,Frank,Pellow,Frank Pellow,Buyer,Purchasing,1957-04-12,Married,Male,2014-12-23
